,species_name,color
304,asclepias tuberosa,Orange
305,asimina triloba,Purple
306,asparagus asparagoides,green
307,asparagus asparagoides,white
308,asparagus officinalis,yellow
309,asparagus virgatus,white
310,asparagus virgatus,yellow
311,asperugo procumbens,violet
312,astragalus agrestis,Purple
313,astragalus alpinus,white
314,astragalus australis,violet
315,astragalus canadensis,White
316,astragalus cicer,yellow
317,astragalus cicer,White
318,astragalus curvicarpus,Yellow
319,astragalus filipes,White
320,astragalus lentiginosus,Yellow
321,astragalus purshii,White
322,asystasia gangetica,purple
323,asystasia gangetica,white
324,atriplex canescens,Yellow
325,atriplex confertifolia,Yellow
326,atriplex gardneri,Yellow
327,atriplex gardneri,Yellow
328,atriplex lentiformis,Yellow
329,atriplex littoralis,green
330,atriplex patula,green
331,atriplex polycarpa,Yellow
332,atriplex prostrata,green
333,atriplex semibaccata,Yellow
334,aurinia saxatilis,yellow
335,avena fatua,Yellow
336,avena sativa,Yellow
337,averrhoa carambola,pink
338,averrhoa carambola,purple
339,averrhoa carambola,white
340,avicennia germinans,White
341,avicennia germinans,white
342,avicennia germinans,yellow
343,axonopus compressus,White
344,axonopus compressus,brown
345,axonopus compressus,green
346,axonopus compressus,purple
347,azadirachta indica,white
348,babiana nervosa,blue
349,babiana nervosa,purple
350,babiana nervosa,yellow
351,baccharis angustifolia,White
352,baccharis halimifolia,White
353,baccharis pilularis,White
354,baccharis salicifolia,Yellow
355,baccharis sarothroides,Yellow
356,bacopa monnieri,blue
357,bacopa monnieri,purple
358,bacopa monnieri,white
359,bacopa rotundifolia,White
360,ballota nigra,purple
361,balsamorhiza careyana,Yellow
362,balsamorhiza hookeri,Yellow
363,balsamorhiza hookeri,Yellow
364,balsamorhiza macrophylla,Yellow
365,balsamorhiza sagittata,Yellow
366,balsamorhiza serrata,Yellow
367,baptisia tinctoria,Yellow
368,barbarea stricta,yellow
369,barbarea verna,yellow
370,barbarea vulgaris,yellow
371,basella alba,pink
372,basella alba,purple
373,basella alba,white
374,bassia hyssopifolia,Green
375,bassia scoparia,green
376,bassia scoparia,green
377,batis maritima,Green
378,bauhinia variegata,pink
379,bauhinia variegata,white
380,beckmannia syzigachne,Yellow
381,bellardia trixago,pink
382,bellardia trixago,white
383,bellis perennis,white
384,berberis aquifolium,yellow
385,berberis aquifolium,Yellow
386,berberis fendleri,Yellow
387,berberis nervosa,Yellow
388,berberis repens,Yellow
389,berberis thunbergii,yellow
390,berberis thunbergii,Yellow
391,berberis vulgaris,yellow
392,berlandiera lyrata,Yellow
393,berteroa incana,white
394,berula erecta,white
395,berula erecta,White
396,betula alleghaniensis,Yellow
397,betula lenta,Yellow
398,betula nigra,Yellow
399,betula occidentalis,Yellow
400,betula papyrifera,Yellow
401,betula pendula,green
402,betula pendula,Yellow
403,betula populifolia,Green
404,betula pumila,Yellow
405,bidens aristosa,Yellow
406,bidens cernua,yellow
407,bidens cernua,Yellow
408,bidens connata,brown
409,bidens connata,Yellow
410,bidens discoidea,Yellow
411,bidens frondosa,brown
412,bidens frondosa,Yellow
413,bidens laevis,Yellow
414,bidens mitis,Yellow
415,bidens pilosa,white
416,bidens pilosa,yellow
417,bidens trichosperma,Yellow
418,bidens tripartita,brown
419,bidens tripartita,Yellow
420,bistorta bistortoides,White
421,bistorta officinalis,white
422,bistorta officinalis,Purple
423,bistorta vivipara,white
424,bistorta vivipara,White
425,blackstonia acuminata,yellow
426,blitum nuttallianum,Green
427,blutaparon vermiculare,pink
428,blutaparon vermiculare,white
429,boechera holboellii,Purple
430,boechera stricta,White
431,boehmeria cylindrica,Yellow
432,boerhavia coccinea,pink
433,boerhavia diffusa,purple
434,boerhavia erecta,pink
435,boerhavia erecta,white
436,bolboschoenus fluviatilis,Brown
437,bolboschoenus maritimus,Green
438,bolboschoenus robustus,Red
439,boltonia asteroides,White
440,borago officinalis,blue
441,borago officinalis,blue
442,borrichia frutescens,Yellow
443,bothriochloa barbinodis,Yellow
444,bothriochloa bladhii,Yellow
445,bothriochloa ischaemum,Yellow
446,bothriochloa pertusa,Yellow
447,bouteloua curtipendula,Yellow
448,bouteloua eriopoda,Yellow
449,bouteloua gracilis,Yellow
450,brassica elongata,yellow
451,brassica juncea,yellow
452,brassica juncea,Yellow
453,brassica juncea,yellow
454,brassica napus,yellow
455,brassica napus,Yellow
456,brassica oleracea,yellow
457,brassica oleracea,white
458,brassica oleracea,yellow
459,brassica rapa,yellow
460,brassica rapa,yellow
461,brassica rapa,yellow
462,bromelia pinguin,Red
463,bromus briziformis,Yellow
464,bromus carinatus,Yellow
465,bromus catharticus,Yellow
466,bromus ciliatus,Yellow
467,bromus hordeaceus,Yellow
468,bromus inermis,Yellow
469,bromus kalmii,Yellow
470,bromus marginatus,Yellow
471,bromus rubens,Yellow
472,bromus vulgaris,Yellow
473,brunnera macrophylla,blue
474,bryonia alba,white
475,buddleja davidii,violet
476,buglossoides arvensis,white
477,bulbine frutescens,orange
478,bulbine frutescens,yellow
479,bulbostylis barbata,brown
480,bulbostylis barbata,brown
481,bunias orientalis,yellow
482,bupleurum rotundifolium,yellow
483,bursera simaruba,Green
484,butomus umbellatus,white
485,buxus sempervirens,white
486,cabomba caroliniana,White
487,caesalpinia pulcherrima,orange
488,caesalpinia pulcherrima,red
489,caesalpinia pulcherrima,yellow
490,cajanus cajan,Yellow
491,cajanus cajan,yellow
492,cakile maritima,pink
493,calamagrostis canadensis,Green
494,calamagrostis rubescens,Yellow
495,calendula arvensis,yellow
496,calendula arvensis,yellow
497,calendula arvensis,yellow
498,calendula officinalis,orange
499,calepina irregularis,white
500,calla palustris,white
501,calliandra eriophylla,Purple
502,calliandra surinamensis,pink
503,callicarpa americana,Blue
504,callirhoe involucrata,Red
505,calluna vulgaris,violet
506,calochortus macrocarpus,Purple
507,calotropis gigantea,blue
508,calotropis gigantea,pink
509,calotropis gigantea,purple
510,calotropis gigantea,white
511,calotropis procera,purple
512,calotropis procera,white
513,caltha leptosepala,White
514,caltha palustris,yellow
515,caltha palustris,Yellow
516,calycocarpum lyonii,White
517,calystegia sepium,white
518,calystegia silvatica,pink
519,calystegia soldanella,pink
520,camassia quamash,Blue
521,camassia scilloides,Blue
522,camelina microcarpa,yellow
523,camellia sinensis,white
524,camissonia contorta,yellow
525,campanula aparinoides,White
526,campanula cervicaria,blue
527,campanula glomerata,violet
528,campanula latifolia,violet
529,campanula medium,blue
530,campanula persicifolia,blue
531,campanula rapunculoides,violet
532,campanula rapunculoides,purple
533,campanula rotundifolia,violet
534,campanula trachelium,violet
535,campsis radicans,Red
536,canadanthus modestus,Purple
537,canavalia rosea,pink
538,canavalia rosea,purple
539,canella winterana,Red
540,canna indica,orange
541,canna indica,red
542,cannabis sativa,white
543,cannabis sativa,green
544,cannabis sativa,white
545,cannabis sativa,yellow
546,capsella bursa-pastoris,white
547,capsella bursa-pastoris,white
548,capsicum annuum,white
549,caragana arborescens,yellow
550,caragana arborescens,Yellow
551,cardamine bellidifolia,white
552,cardamine bulbosa,White
553,cardamine cordifolia,White
554,cardamine dentata,white
555,cardamine flexuosa,white
556,cardamine hirsuta,white
557,cardamine hirsuta,pink
558,cardamine hirsuta,purple
559,cardamine hirsuta,white
560,cardamine hirsuta,white
561,cardamine impatiens,white
562,cardamine oligosperma,White
563,cardamine parviflora,white
564,cardamine pensylvanica,White
565,cardamine pratensis,violet
566,cardiospermum corindum,white
567,cardiospermum corindum,yellow
568,cardiospermum halicacabum,white
569,cardiospermum halicacabum,yellow
570,carduus acanthoides,purple
571,carduus nutans,purple
572,carduus tenuiflorus,purple
573,carex amphibola,Green
574,carex aperta,Brown
575,carex aquatilis,Green
576,carex atherodes,Green
577,carex athrostachya,Green
578,carex aurea,Green
579,carex bigelowii,Green
580,carex blanda,Green
581,carex bushii,Green
582,carex canescens,Green
583,carex capillaris,Green
584,carex cephalophora,Green
585,carex comosa,Green
586,carex crinita,Green
587,carex cristatella,Green
588,carex crus-corvi,Green
589,carex debilis,Green
590,carex deweyana,Green
591,carex diandra,Green
592,carex douglasii,Green
593,carex echinata,Green
594,carex filifolia,Brown
595,carex filifolia,Green
596,carex frankii,Green
597,carex geyeri,Yellow
598,carex glaucescens,Green
599,carex gracillima,Green
600,carex granularis,Green
601,carex grayi,Green
602,carex halliana,Yellow
603,carex hendersonii,Green
604,carex interior,Green
605,carex intumescens,Green
606,carex kobomugi,Brown
607,carex lacustris,Green
608,carex lenticularis,Green
609,carex leptalea,Green
610,carex limosa,Green
611,carex livida,Green
612,carex lupulina,Green
613,carex lurida,Green
614,carex mertensii,Purple
615,carex microptera,Green
616,carex molesta,Green
617,carex muskingumensis,Green
618,carex normalis,Green
619,carex obnupta,Yellow
620,carex polymorpha,Green
621,carex praegracilis,Green
622,carex prasina,Green
623,carex projecta,Green
624,carex raynoldsii,Green
625,carex rossii,Green
626,carex saxatilis,Brown
627,carex scabrata,Green
628,carex scirpoidea,Green
629,carex scoparia,Green
630,carex shortiana,Green
631,carex sparganioides,Green
632,carex squarrosa,Green
633,carex stipata,Green
634,carex stricta,Green
635,carex tenera,Green
636,carex torta,Green
637,carex tribuloides,Green
638,carex trichocarpa,Green
639,carex trisperma,Green
640,carex typhina,Green
641,carex utriculata,Green
642,carex viridula,Green
643,carex vulpinoidea,Green
644,carica papaya,White
645,carica papaya,white
646,carica papaya,yellow
647,carissa macrocarpa,white
648,carlina vulgaris,yellow
649,carpinus caroliniana,Green
650,carpobrotus acinaciformis,purple
651,carpobrotus edulis,pink
652,carpobrotus edulis,yellow
653,carthamus tinctorius,yellow
654,carum carvi,white
655,carya cordiformis,Yellow
656,carya illinoinensis,Green
657,carya myristiciformis,Yellow
658,carya ovata,Yellow
659,cascabela thevetia,white
660,cascabela thevetioides,yellow
661,cascabela thevetioides,yellow
662,cassiope tetragona,White
663,cassytha filiformis,green
664,cassytha filiformis,white
665,castanea dentata,White
666,castanea pumila,Yellow
667,castanea sativa,white
668,castilleja angustifolia,Red
669,castilleja applegatei,Red
670,castilleja coccinea,Red
671,castilleja hispida,Red
672,castilleja sessiliflora,Yellow
673,casuarina equisetifolia,Red
674,casuarina glauca,Red
675,catalpa bignonioides,White
676,catalpa speciosa,White
677,catananche caerulea,blue
678,catananche caerulea,purple
679,catananche caerulea,white
680,catananche caerulea,yellow
681,catharanthus roseus,pink
682,catharanthus roseus,white
683,caulophyllum thalictroides,Purple
684,ceanothus americanus,Blue
685,ceanothus cordulatus,White
686,ceanothus cuneatus,White
687,ceanothus integerrimus,White
688,ceanothus megacarpus,White
689,ceanothus papillosus,Blue
690,ceanothus prostratus,Purple
691,ceanothus sanguineus,White
692,ceanothus velutinus,White
693,ceiba pentandra,White
694,ceiba pentandra,pink
695,ceiba pentandra,white
696,celastrus orbiculatus,White
697,celastrus scandens,White
698,celosia argentea,yellow
699,celosia argentea,pink
700,celosia argentea,white
701,celtis laevigata,Green
702,celtis occidentalis,Green
703,cenchrus ciliaris,Yellow
704,cenchrus ciliaris,green
705,centaurea benedicta,yellow
706,centaurea benedicta,yellow
707,centaurea calcitrapa,purple
708,centaurea calcitrapa,purple
709,centaurea cyanus,blue
710,centaurea diffusa,white
711,centaurea jacea,purple
712,centaurea nigra,purple
713,centaurea nigrescens,purple
714,centaurea solstitialis,yellow
715,centaurea solstitialis,yellow
716,centaurea stoebe,purple
717,centaurium erythraea,pink
718,centaurium erythraea,pink
719,centaurium pulchellum,red
720,centranthus ruber,purple
721,cephalanthus occidentalis,White
722,cerastium alpinum,white
723,cerastium arvense,white
724,cerastium brachypetalum,white
725,cerastium brachypetalum,white
726,cerastium fontanum,white
727,cerastium fontanum,white
728,cerastium glomeratum,white
729,cerastium holosteoides,white
730,cerastium pumilum,white
731,cerastium semidecandrum,white
732,cerastium tomentosum,white
733,ceratophyllum demersum,Blue
734,cercis canadensis,Purple
735,cercocarpus ledifolius,Yellow
736,cercocarpus montanus,White
737,chaenactis douglasii,White
738,chaenomeles japonica,Orange
739,chaenorhinum minus,violet
740,chaerophyllum temulum,white
741,chamaebatiaria millefolium,White
742,chamaecrista fasciculata,Yellow
743,chamaecrista rotundifolia,yellow
744,chamaecrista rotundifolia,yellow
745,chamaedaphne calyculata,White
746,chamaemelum nobile,white
747,chasmanthe bicolor,green
748,chasmanthe bicolor,orange
749,chasmanthe bicolor,red
750,chasmanthium latifolium,Green
751,chasmanthium laxum,Green
752,chasmanthium sessiliflorum,Yellow
753,chelidonium majus,yellow
754,chenopodiastrum hybridum,green
755,chenopodiastrum murale,green
756,chenopodium album,green
757,chenopodium album,green
758,chenopodium album,green
759,chenopodium berlandieri,green
760,chenopodium ficifolium,green
761,chilopsis linearis,Yellow
762,chimaphila umbellata,white
763,chimaphila umbellata,White
764,chionanthus virginicus,White
765,chlorophytum comosum,white
766,chloropyron maritimum,Purple
767,choisya dumosa,White
768,chondrilla juncea,yellow
769,chondrilla juncea,yellow
770,chromolaena odorata,white
771,chrysolepis sempervirens,Green
772,chrysothamnus viscidiflorus,Yellow
773,cichorium intybus,blue
774,cichorium intybus,Blue
775,cicuta douglasii,White
776,cicuta virosa,white
777,cinna arundinacea,Green
778,cinna latifolia,Yellow
779,circaea alpina,white
780,circaea alpina,White
781,circaea lutetiana,white
782,cirsium arvense,pink
783,cirsium arvense,purple
784,cirsium palustre,purple
785,cirsium vulgare,purple
786,cirsium vulgare,purple
787,citrullus lanatus,yellow
788,cladrastis kentukea,White
789,clarkia gracilis,Purple
790,clarkia pulchella,Purple
791,claytonia perfoliata,white
792,claytonia perfoliata,White
793,claytonia sibirica,pink
794,clematis alpina,blue
795,clematis ligusticifolia,White
796,clematis virginiana,White
797,clematis vitalba,white
798,cleome gynandra,pink
799,cleome gynandra,white
800,cleome gynandra,pink
801,cleome gynandra,white
802,cleome gynandra,yellow
803,cleome rutidosperma,blue
804,cleome rutidosperma,pink
805,cleome rutidosperma,purple
806,cleome rutidosperma,white
807,cleomella arborea,Yellow
808,cleomella lutea,Yellow
809,cleomella platycarpa,Yellow
810,cleomella serrulata,Red
811,clethra alnifolia,White
812,clinopodium acinos,violet
813,clinopodium menthifolium,violet
814,clinopodium nepeta,violet
815,clinopodium nepeta,violet
816,clinopodium vulgare,purple
817,clintonia borealis,Yellow
818,clitoria ternatea,blue
819,clitoria ternatea,purple
820,clitoria ternatea,white
821,coccinia grandis,orange
822,coccinia grandis,yellow
823,coccoloba diversifolia,White
824,cocos nucifera,Yellow
825,coelorachis rugosa,White
826,coincya monensis,yellow
827,colchicum autumnale,pink
828,coleogyne ramosissima,Yellow
829,collinsia parviflora,Blue
830,collomia grandiflora,yellow
831,colocasia esculenta,white
832,colutea arborescens,yellow
833,colutea arborescens,Yellow
834,comarum palustre,brown
835,combretum indicum,pink
836,combretum indicum,red
837,combretum indicum,white
838,combretum indicum,pink
839,combretum indicum,white
840,commelina benghalensis,blue
841,commelina diffusa,Blue
842,commelina diffusa,blue
843,commelina diffusa,pink
844,commelina diffusa,purple
845,commelina diffusa,white
846,commelina erecta,blue
847,commelina erecta,purple
848,commelina virginica,Blue
849,comptonia peregrina,White
850,conium maculatum,white
851,conocarpus erectus,green
852,conocarpus erectus,purple
853,conoclinium coelestinum,Blue
854,conringia orientalis,white
855,convallaria majalis,white
856,convallaria majalis,White
857,convolvulus arvensis,white
858,corallorhiza trifida,yellow
859,corchorus aestuans,yellow
860,corchorus olitorius,yellow
861,cordia sebestena,orange
862,cordia sebestena,red
863,coriandrum sativum,white
864,coriandrum sativum,white
865,cornus alternifolia,White
866,cornus amomum,White
867,cornus canadensis,White
868,cornus drummondii,White
869,cornus florida,White
870,cornus foemina,White
871,cornus mas,yellow
872,cornus mas,White
873,cornus nuttallii,Green
874,cornus racemosa,White
875,cornus rugosa,White
876,cornus sanguinea,white
877,cornus sanguinea,white
878,cornus sericea,white
879,cornus sericea,White
880,cornus suecica,brown
881,cortaderia selloana,Yellow
882,corydalis caseana,White
883,corydalis flavula,Yellow
884,corydalis solida,red
885,corylus americana,White
886,corylus avellana,green
887,corylus cornuta,Yellow
888,corylus cornuta,Yellow
889,cosmos bipinnatus,pink
890,cosmos bipinnatus,purple
891,cosmos bipinnatus,red
892,cosmos bipinnatus,white
893,cota tinctoria,yellow
894,cotinus coggygria,white
895,cotoneaster apiculatus,White
896,cotoneaster divaricatus,pink
897,cotoneaster horizontalis,pink
898,cotoneaster horizontalis,White
899,cotula coronopifolia,white
900,crassula aquatica,white
901,crassula tillaea,white
902,crataegus aestivalis,White
903,crataegus crus-galli,White
904,crataegus douglasii,White
905,crataegus erythropoda,White
906,crataegus laevigata,white
907,crataegus marshallii,White
908,crataegus monogyna,white
909,crataegus monogyna,Purple
910,crataegus phaenopyrum,White
911,crataegus viridis,White
912,crepis acuminata,Yellow
913,crepis capillaris,yellow
914,crepis capillaris,yellow
915,crepis modocensis,Yellow
916,crepis occidentalis,Yellow
917,crepis pulchra,yellow
918,crepis pulchra,yellow
919,crepis setosa,yellow
920,crepis tectorum,yellow
921,crepis vesicaria,yellow
922,cressa truxillensis,White
923,crinum asiaticum,white
924,crinum bulbispermum,pink
925,crinum bulbispermum,red
926,crinum bulbispermum,white
927,crocus vernus,yellow
928,crocus vernus,white
929,crotalaria juncea,Yellow
930,crotalaria pallida,yellow
931,crotalaria retusa,orange
932,crotalaria retusa,purple
933,crotalaria retusa,yellow
934,crotalaria spectabilis,Yellow
935,cryptostegia grandiflora,pink
936,cryptostegia grandiflora,purple
937,cryptostegia grandiflora,white
938,cucumis dipsaceus,yellow
939,cucumis melo,yellow
940,cucurbita foetidissima,Yellow
941,cucurbita maxima,orange
942,cucurbita maxima,white
943,cuphea micropetala,orange
944,cuphea micropetala,red
945,cuphea micropetala,yellow
946,cuscuta gronovii,white
947,cuscuta pentagona,white
948,cuscuta pentagona,white
949,cuscuta pentagona,yellow
950,cyanthillium cinereum,pink
951,cyanthillium cinereum,purple
952,cyanthillium cinereum,pink
953,cyanthillium cinereum,purple
954,cyclospermum leptophyllum,white
955,cyclospermum leptophyllum,white
956,cydonia oblonga,pink
957,cydonia oblonga,White
958,cymbalaria muralis,violet
959,cynodon dactylon,Yellow
960,cynodon dactylon,green
961,cynodon dactylon,purple
962,cynoglossum officinale,brown
963,cynophalla flexuosa,White
964,cyperus acuminatus,Green
965,cyperus articulatus,brown
966,cyperus bipartitus,Green
967,cyperus compressus,Green
968,cyperus compressus,green
969,cyperus difformis,brown
970,cyperus difformis,green
971,cyperus esculentus,Green
972,cyperus flavescens,Red
973,cyperus flavescens,brown
974,cyperus flavescens,green
975,cyperus haspan,Brown
976,cyperus haspan,brown
977,cyperus haspan,green
978,cyperus odoratus,Brown
979,cyperus polystachyos,Green
980,cyperus polystachyos,brown
981,cyperus polystachyos,green
982,cyperus rotundus,brown
983,cyperus rotundus,green
984,cyperus squarrosus,green
985,cyperus squarrosus,yellow
986,cyperus squarrosus,green
987,cyperus squarrosus,yellow
988,cyperus strigosus,Brown
989,cyrilla racemiflora,Brown
990,cyrilla racemiflora,White
991,cytisus scoparius,yellow
992,cytisus scoparius,Yellow
993,cytisus striatus,yellow
994,dactylis glomerata,Yellow
995,dactylorhiza viridis,brown
996,dalbergia ecastaphyllum,white
997,dalea formosa,Purple
998,damasonium californicum,White
999,danthonia compressa,Yellow
