binomial,photo_url,flower_present,subjectivity,gpt_color
Eriogonum fasciculatum,https://inaturalist-open-data.s3.amazonaws.com/photos/250218073/medium.jpg,YES,LOW,PINK
Epilobium canum,https://inaturalist-open-data.s3.amazonaws.com/photos/5301/medium.jpg,YES,LOW,ORANGE
Monotropa hypopitys,https://inaturalist-open-data.s3.amazonaws.com/photos/14046/medium.jpg,NO,LOW,NAN
Sambucus racemosa,https://inaturalist-open-data.s3.amazonaws.com/photos/149058839/medium.jpeg,NO,LOW,NAN
Apocynum androsaemifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/375675/medium.jpg,YES,LOW,PINK
Potentilla indica,https://inaturalist-open-data.s3.amazonaws.com/photos/59523800/medium.jpg,NO,LOW,NAN
Cornus florida,https://inaturalist-open-data.s3.amazonaws.com/photos/13587/medium.jpg,YES,LOW,WHITE
Dicentra formosa,https://inaturalist-open-data.s3.amazonaws.com/photos/270693561/medium.jpg,YES,LOW,PURPLE
Silene latifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/301833921/medium.jpeg,YES,LOW,WHITE
Verbascum thapsus,https://static.inaturalist.org/photos/44885369/medium.jpg,YES,LOW,YELLOW
Bahiopsis parishii,https://inaturalist-open-data.s3.amazonaws.com/photos/2957903/medium.jpg,YES,LOW,YELLOW
Cleomella arborea,https://inaturalist-open-data.s3.amazonaws.com/photos/13544465/medium.jpeg,YES,LOW,YELLOW
Sherardia arvensis,https://inaturalist-open-data.s3.amazonaws.com/photos/199966195/medium.jpg,YES,LOW,PURPLE
Vicia cracca,https://static.inaturalist.org/photos/50242829/medium.jpeg,YES,LOW,PURPLE
Solidago altissima,https://inaturalist-open-data.s3.amazonaws.com/photos/5227674/medium.jpg,YES,LOW,YELLOW
Plectritis congesta,https://inaturalist-open-data.s3.amazonaws.com/photos/12436/medium.jpg,YES,LOW,PINK
Calypso bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/1190/medium.jpg,YES,LOW,PINK
Echinocereus engelmannii,https://inaturalist-open-data.s3.amazonaws.com/photos/71550/medium.jpg,YES,LOW,PINK
Plantago lanceolata,https://inaturalist-open-data.s3.amazonaws.com/photos/289213594/medium.jpg,YES,LOW,WHITE
Doellingeria umbellata,https://inaturalist-open-data.s3.amazonaws.com/photos/60595/medium.jpg,YES,LOW,WHITE
Calochortus gunnisonii,https://static.inaturalist.org/photos/4460615/medium.jpg,YES,LOW,WHITE
Hesperocallis undulata,https://inaturalist-open-data.s3.amazonaws.com/photos/258099569/medium.jpeg,YES,LOW,WHITE
Impatiens pallida,https://inaturalist-open-data.s3.amazonaws.com/photos/320929324/medium.jpeg,YES,LOW,YELLOW
Phacelia campanularia,https://inaturalist-open-data.s3.amazonaws.com/photos/97824645/medium.jpg,YES,LOW,BLUE
Hypericum perforatum,https://inaturalist-open-data.s3.amazonaws.com/photos/80103099/medium.jpg,YES,LOW,YELLOW
Cercis canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/146752176/medium.jpg,YES,LOW,PINK
Oenothera speciosa,https://static.inaturalist.org/photos/79516474/medium.jpg,YES,LOW,PINK
Tanacetum vulgare,https://inaturalist-open-data.s3.amazonaws.com/photos/23464794/medium.jpg,YES,LOW,YELLOW
Dicentra canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/263311482/medium.jpg,YES,LOW,WHITE
Hepatica acutiloba,https://inaturalist-open-data.s3.amazonaws.com/photos/784603/medium.jpg,YES,LOW,PURPLE
Pulsatilla nuttalliana,https://inaturalist-open-data.s3.amazonaws.com/photos/118406706/medium.jpeg,YES,LOW,WHITE
Ligustrum obtusifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/47833801/medium.jpeg,YES,LOW,WHITE
Salvia coccinea,https://inaturalist-open-data.s3.amazonaws.com/photos/318679077/medium.jpg,YES,LOW,RED
Fritillaria pudica,https://inaturalist-open-data.s3.amazonaws.com/photos/112082/medium.jpg,YES,LOW,YELLOW
Physalis crassifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/7781680/medium.jpg,YES,LOW,YELLOW
Pilosella aurantiaca,https://inaturalist-open-data.s3.amazonaws.com/photos/9986/medium.jpg,YES,LOW,ORANGE
Kalmia angustifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/44474782/medium.jpg,YES,LOW,PINK
Polygaloides paucifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/40859326/medium.jpg,YES,LOW,PURPLE
Maianthemum stellatum,https://inaturalist-open-data.s3.amazonaws.com/photos/5315/medium.jpg,YES,LOW,WHITE
Pectis papposa,https://inaturalist-open-data.s3.amazonaws.com/photos/13044054/medium.jpeg,YES,LOW,YELLOW
Calystegia sepium,https://inaturalist-open-data.s3.amazonaws.com/photos/47848699/medium.jpg,YES,LOW,WHITE
Uvularia grandiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/96536/medium.jpg,YES,LOW,YELLOW
Diervilla lonicera,https://inaturalist-open-data.s3.amazonaws.com/photos/21142762/medium.jpeg,YES,LOW,YELLOW
Erythranthe guttata,https://static.inaturalist.org/photos/1242791/medium.,YES,LOW,YELLOW
Castilleja exserta,https://inaturalist-open-data.s3.amazonaws.com/photos/182011437/medium.jpg,YES,LOW,PURPLE
Potentilla recta,https://inaturalist-open-data.s3.amazonaws.com/photos/8009063/medium.jpg,YES,LOW,YELLOW
Lilium philadelphicum,https://inaturalist-open-data.s3.amazonaws.com/photos/86424387/medium.jpg,YES,LOW,ORANGE
Triteleia grandiflora,https://static.inaturalist.org/photos/76347134/medium.jpeg,YES,LOW,PURPLE
Lindera benzoin,https://static.inaturalist.org/photos/37853779/medium.jpg,YES,LOW,YELLOW
Lonicera involucrata,https://inaturalist-open-data.s3.amazonaws.com/photos/52126544/medium.jpeg,YES,LOW,ORANGE
Sisyrinchium bellum,https://inaturalist-open-data.s3.amazonaws.com/photos/3188172/medium.JPG,YES,LOW,PURPLE
Clintonia uniflora,https://inaturalist-open-data.s3.amazonaws.com/photos/41022/medium.jpg,YES,LOW,WHITE
Acmispon glaber,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/medium.jpg,YES,LOW,YELLOW
Diplacus aurantiacus,https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/medium.jpg,YES,LOW,ORANGE
Chelone glabra,https://inaturalist-open-data.s3.amazonaws.com/photos/4704356/medium.jpeg,YES,LOW,WHITE
Panax trifolius,https://inaturalist-open-data.s3.amazonaws.com/photos/98671/medium.jpg,YES,LOW,WHITE
Eupatorium perfoliatum,https://inaturalist-open-data.s3.amazonaws.com/photos/158562297/medium.jpeg,YES,LOW,WHITE
Bloomeria crocea,https://static.inaturalist.org/photos/38868283/medium.jpeg,YES,LOW,YELLOW
Allionia incarnata,https://inaturalist-open-data.s3.amazonaws.com/photos/155665290/medium.jpeg,YES,LOW,PURPLE
Campsis radicans,https://inaturalist-open-data.s3.amazonaws.com/photos/7300976/medium.jpeg,YES,LOW,ORANGE
Spiraea alba,https://inaturalist-open-data.s3.amazonaws.com/photos/22470835/medium.jpeg,YES,LOW,WHITE
Mentzelia involucrata,https://inaturalist-open-data.s3.amazonaws.com/photos/44759/medium.jpg,YES,MEDIUM,YELLOW
Gaillardia pulchella,https://inaturalist-open-data.s3.amazonaws.com/photos/75102458/medium.jpg,YES,LOW,RED
Chaenactis fremontii,https://inaturalist-open-data.s3.amazonaws.com/photos/35153998/medium.jpg,YES,LOW,WHITE
Cirsium arvense,https://inaturalist-open-data.s3.amazonaws.com/photos/42462240/medium.jpg,YES,LOW,PURPLE
Saponaria officinalis,https://inaturalist-open-data.s3.amazonaws.com/photos/250900618/medium.jpeg,YES,LOW,WHITE
Chamaecrista fasciculata,https://inaturalist-open-data.s3.amazonaws.com/photos/2203983/medium.jpg,YES,LOW,YELLOW
Phacelia minor,https://inaturalist-open-data.s3.amazonaws.com/photos/25162/medium.jpg,YES,LOW,PURPLE
Hamamelis virginiana,https://inaturalist-open-data.s3.amazonaws.com/photos/111084509/medium.jpg,YES,MEDIUM,GREEN
Calochortus luteus,https://inaturalist-open-data.s3.amazonaws.com/photos/3878/medium.jpg,YES,LOW,YELLOW
Zephyranthes drummondii,https://inaturalist-open-data.s3.amazonaws.com/photos/1803235/medium.jpg,YES,LOW,WHITE
Iris versicolor,https://inaturalist-open-data.s3.amazonaws.com/photos/3945533/medium.jpg,YES,LOW,PURPLE
Lobelia inflata,https://inaturalist-open-data.s3.amazonaws.com/photos/9506591/medium.jpeg,YES,LOW,WHITE
Uvularia sessilifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/3104193/medium.JPG,YES,LOW,GREEN
Erythronium albidum,https://inaturalist-open-data.s3.amazonaws.com/photos/20143/medium.jpg,YES,LOW,WHITE
Rubus spectabilis,https://inaturalist-open-data.s3.amazonaws.com/photos/313742389/medium.jpg,YES,LOW,PINK
Eriophyllum confertiflorum,https://inaturalist-open-data.s3.amazonaws.com/photos/3593413/medium.jpg,YES,LOW,YELLOW
Geranium dissectum,https://inaturalist-open-data.s3.amazonaws.com/photos/35322372/medium.jpeg,YES,LOW,PINK
Echinocereus coccineus,https://inaturalist-open-data.s3.amazonaws.com/photos/16269180/medium.jpg,YES,LOW,ORANGE
Emmenanthe penduliflora,https://inaturalist-open-data.s3.amazonaws.com/photos/34464275/medium.jpg,YES,MEDIUM,GREEN
Diplacus bigelovii,https://inaturalist-open-data.s3.amazonaws.com/photos/61994809/medium.jpg,YES,LOW,PINK
Campanulastrum americanum,https://inaturalist-open-data.s3.amazonaws.com/photos/443308/medium.jpg,YES,LOW,BLUE
Linnaea borealis,https://static.inaturalist.org/photos/297803408/medium.jpg,YES,LOW,PINK
Bebbia juncea,https://inaturalist-open-data.s3.amazonaws.com/photos/1727834/medium.jpg,YES,LOW,YELLOW
